"team","wins","draws","losses","points","goals_for","goals_against","goal_diff","expected_goals_for","expected_goals_against","expected_goal_diff","attendance"
"Arsenal",26,6,6,84,88,43,45,71.9,42,29.9,60191
"Aston Villa",18,7,13,61,51,46,5,50.2,52.5,-2.2,39485
"Bournemouth",11,6,21,39,37,71,-34,38.6,63.9,-25.3,10362
"Brentford",15,14,9,59,58,46,12,56.8,49.9,6.8,17078
"Brighton",18,8,12,62,72,53,19,73.3,50.2,23.1,31477
"Chelsea",11,11,16,44,38,47,-9,49.5,52.5,-3,40002
"Crystal Palace",11,12,15,45,40,49,-9,39.3,48.1,-8.8,24952
"Everton",8,12,18,36,34,57,-23,45.2,65.7,-20.5,37180
"Fulham",15,7,16,52,55,53,2,46.2,63.8,-17.6,23746
"Leeds United",7,10,21,31,48,78,-30,47.4,67.2,-19.8,34626
"Leicester City",9,7,22,34,51,68,-17,50.6,63.4,-12.8,30193
"Liverpool",19,10,9,67,75,47,28,72.6,50.9,21.7,53163
"Manchester City",28,5,5,89,94,33,61,78.7,32.1,46.6,53249
"Manchester Utd",23,6,9,75,58,43,15,67.7,50.4,17.3,73671
"Newcastle Utd",19,14,5,71,68,33,35,72,39.6,32.4,52127
"Nott'ham Forest",9,11,18,38,38,68,-30,39.3,64.2,-24.9,29188
"Southampton",6,7,25,25,36,73,-37,37.7,61,-23.3,30440
"Tottenham",18,6,14,60,70,63,7,57.1,49.7,7.4,61585
"West Ham",11,7,20,40,42,55,-13,49.2,53,-3.9,62462
"Wolves",11,8,19,41,31,58,-27,36.8,59.9,-23.1,31482
